1,1,39693937,47218479,22,134,324,
1,1,39706765,47219940,21,254,325,
1,1,39724686,47223688,,,328,
1,1,39759884,47235855,20,348,344,
1,2,39727633,47224342,8,240,316,
1,2,39715818,47221877,22,70,318,
1,2,39743535,47227408,24,102,319,
1,2,39752953,47228783,2,254,336,
1,2,39704868,47219447,34,252,351,
1,22,39727933,47224482,32,74,1189,
1,22,39731568,47225195,17,254,1193,
1,22,39774366,47229411,,,314,
1,22,39829958,47239247,,,317,
1,22,39708623,47220285,1,70,329,
1,22,39830600,47239308,,,345,
1,22,39694218,47218304,10,136,349,
1,22,39769268,47230152,15,256,350,
1,5,39765227,47244943,29,354,1190,
1,6,39716375,47282885,0,352,333,
1,6,39722124,47267065,16,52,334,
1,6,39714042,47220167,25,252,335,
1,6,39712929,47244545,29,178,340,
1,6,39718985,47272488,29,162,341,
1,6,39715763,47229134,20,158,342,
1,6,39716942,47226716,,,343,
2,1,39712122,47218090,,,02484,
2,1,39701050,47252700,49,64,KA993,
2,1,39673018,47312868,21,358,KB241,
2,10,39660817,47293388,20,248,509,
2,11,39769025,47256435,,,B393YA,
2,15,39622750,47245880,28,270,E868PB,
2,15,39634468,47238396,,,E869PB,
2,15,39707612,47217183,0,94,E918PB,
2,15,39668601,47211190,18,274,E924PB,
2,15,39696643,47214280,29,58,M167PP,
2,16,39708390,47217047,0,260,683,
2,16,39679740,47211177,10,266,707,
2,16,39618563,47211985,19,88,714,
2,16,39708437,47217418,0,78,795,
2,16,39630725,47212305,17,90,827,
2,16,39635502,47212691,0,280,840,
2,16,39653055,47211952,26,274,841,
2,16,39697688,47214714,28,60,843,
2,16,39667107,47211225,21,102,846,
2,17,39713869,47249456,,,007387,
2,18л,39683666,47320801,0,26,ME284,
2,18п,39720379,47264950,4,202,ME289,
2,21,39702665,47231580,58,342,012,
2,21,39695578,47224445,6,262,H410HC,
2,21,39692500,47288883,0,116,H975OK,
2,22,39710592,47255743,11,64,1116,
2,22,39712652,47250610,31,198,1138,
2,22,39740725,47274745,19,290,1203,
2,22,39709855,47217778,0,270,1211,
2,22,39757245,47284318,4,184,1212,
2,22,39701363,47234243,0,356,1213,
2,22,39708165,47219168,9,344,307,
2,22,39768135,47278405,53,18,542,
2,22,39713352,47238058,26,182,555,
2,22,39751745,47299092,0,112,905,
2,22,39750570,47300141,12,290,950,
2,22,39730455,47273662,12,72,982,
2,26,39590840,47235582,24,90,07103,
2,26,39672990,47211083,0,264,07104,
2,26,39617163,47225218,26,270,07110,
2,26,39707927,47217298,,,07123,
2,26,39634948,47212840,0,348,07126,
2,26,39616315,47225138,39,90,07130,
2,26,39705960,47216980,20,70,07131,
2,26,39634735,47212597,7,0,07134,
2,26,39594278,47235707,33,270,07172,
2,27,39683583,47267933,27,202,KB143,
2,27,39663200,47294448,42,52,Y570TK,
2,3,39759057,47237952,34,348,300,
2,3,39701822,47218833,34,252,302,
2,3,39784533,47280900,0,184,305,
2,3,39722825,47223297,24,72,309,
2,3,39692105,47219842,0,140,314,
2,3,39708980,47220337,0,64,319,
2,3,39777908,47266735,37,198,320,
2,3,39765383,47254445,0,208,321,
2,3,39696475,47217702,7,74,323,
2,3,39765578,47254655,0,200,325,
2,3,39765393,47243942,0,344,326,
2,3,39780638,47272045,41,18,327,
2,3,39757782,47240757,19,162,328,
2,3,39691897,47219980,0,140,331,
2,3,39752782,47228802,19,74,334,
2,3,39737325,47226277,0,250,336,
2,3,39764958,47245635,47,176,983,
2,32,39613687,47207590,25,356,07129,
2,32,39597157,47209810,22,0,07137,
2,32,39542080,47230630,,,07173,
2,33,39694863,47217837,19,144,00777,
2,33,39714322,47291947,21,348,0794,
2,34,39708420,47217403,0,68,603,
2,34,39646052,47209823,13,336,611,
2,34,39697132,47214512,48,60,665,
2,34,39634840,47208207,17,296,700,
2,34,39645787,47209143,31,252,743,
2,34а,39694620,47213310,35,54,621,
2,34а,39625715,47203472,10,90,662,
2,34а,39613612,47199058,26,6,703,
2,35,39710405,47217770,,,A205OX,
2,35,39781915,47265735,65,246,C137OX,
2,35,39800898,47282053,20,108,C168OE,
2,35,39790612,47271057,2,36,H047HC,
2,35а,39739282,47248985,22,84,T205PA,
2,35а,39783757,47306785,3,4,T206PA,
2,36,39783690,47305759,30,180,533,
